,FIPS,state2,cdid116,inputstate,birthyr,cces.year,countyfips,dem,educ,educ.int,gender,hispanic,ideo5,newsint,partydefender,perceive_extreme,perceive_extreme_very,party,pid,pid3,pid7,polint,progressive,race,reformer,reformer_local,rep,RCO321,RCO321_a,RCO321_dk,RCO321_dm,RCO321_na,RCO321_np,RCO321_p,RCO321_pref,RCO322,RCO322_a,RCO322_dk,RCO322_dm,RCO322_na,RCO322_np,RCO322_p,RCO322_pref,RCO323,RCO323_a,RCO323_dk,RCO323_dm,RCO323_na,RCO323_np,RCO323_p,RCO323_pref,RCO324,RCO324_a,RCO324_dk,RCO324_dm,RCO324_na,RCO324_np,RCO324_p,RCO324_pref,RCO325,RCO325_a,RCO325_dk,RCO325_dm,RCO325_na,RCO325_np,RCO325_p,RCO325_pref,RCO326,RCO326_a,RCO326_dk,RCO326_dm,RCO326_na,RCO326_np,RCO326_p,RCO326_pref,RCO327,RCO327_a,RCO327_dk,RCO327_dm,RCO327_na,RCO327_np,RCO327_p,RCO327_pref,states_p_sb,states_p_sheriff,states_p_da,states_a_da,X2018_GovFlip,X2018_LegFlip,X2018_SenFlip,X2018_HouseFlip,X2018Pre_RepubGovControl,X2018Pre_DemTriControl,X2018Pre_RepTriControl,biden2020,trump2020,state,state_po,county,avg_d_voteshare2party,avg_r_voteshare2party,Pres_Vote
308,9007,CT,1,Connecticut,1979,2018,9007,0,High school graduate,1,Female,No,Conservative,Some of the time,0,1,0,Rep,Republican,Republican,Not very strong Republican,3,0,White,5,3,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,63.3,35.3,Connecticut,CT,Middlesex,53.85282105,46.14717895,Lean Democrat
309,9007,CT,2,Connecticut,1968,2018,9007,0,Post-grad,5,Female,No,Liberal,Only now and then,1,0,0,Ind,Democrat,Independent,Lean Democrat,2,0,White,3,2,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.5,43.5,Connecticut,CT,Middlesex,53.85282105,46.14717895,Lean Democrat
310,9009,CT,3,Connecticut,1991,2018,9009,1,4-year,4,Female,No,Moderate,Only now and then,1,1,1,Dem,Democrat,Democrat,Not very strong Democrat,2,0,White,3,2,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,59.9,38.8,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
311,9009,CT,3,Connecticut,2000,2020,9009,1,Some college,2,Female,No,Very liberal,Most of the time,3,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Asian,4,4,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,59.9,38.8,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
312,9009,CT,3,Connecticut,1963,2018,9009,1,Some college,2,Male,No,Moderate,Most of the time,0,1,1,Dem,Democrat,Democrat,Not very strong Democrat,4,0,White,6,4,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,59.9,38.8,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
316,9009,CT,5,Connecticut,1947,2020,9009,0,Some college,2,Female,No,Conservative,Most of the time,3,0,0,Ind,Republican,Independent,Lean Republican,4,0,White,4,4,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.6,43.9,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
317,9009,CT,5,Connecticut,1952,2020,9009,1,Some college,2,Male,No,Not sure,Some of the time,7,1,1,Dem,Democrat,Democrat,Strong Democrat,3,0,White,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.6,43.9,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
318,9009,CT,3,Connecticut,1988,2018,9009,1,Post-grad,5,Male,No,Liberal,Most of the time,2,1,1,Dem,Democrat,Democrat,Strong Democrat,4,1,White,5,5,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,59.9,38.8,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
319,9009,CT,5,Connecticut,1986,2018,9009,1,High school graduate,1,Male,No,Very conservative,Some of the time,1,0,0,Dem,Democrat,Democrat,Strong Democrat,3,0,Hispanic,1,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.6,43.9,Connecticut,CT,New Haven,56.38421859,43.61578141,Lean Democrat
323,9013,CT,2,Connecticut,1941,2018,9013,0,4-year,4,Male,No,Very conservative,Most of the time,4,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,2,2,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.5,43.5,Connecticut,CT,Tolland,52.9656121,47.0343879,Lean Democrat
324,9015,CT,2,Connecticut,1995,2020,9015,0,4-year,4,Female,No,Moderate,Hardly at all,6,0,0,Ind,Democrat,Independent,Lean Democrat,1,0,White,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,NA,NA,1,0,NA,NA,NA,0,NA,NA,54.5,43.5,Connecticut,CT,Windham,45.84025747,54.15974253,Lean Republican
325,10001,DE,1,Delaware,1968,2018,10001,1,Some college,2,Male,Yes,Moderate,Most of the time,2,1,0,Dem,Democrat,Democrat,Not very strong Democrat,4,0,White,3,3,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Kent,47.4126411,52.5873589,Lean Republican
326,10001,DE,1,Delaware,1947,2018,10001,0,High school graduate,1,Male,No,Conservative,Some of the time,0,1,1,Rep,Republican,Republican,Strong Republican,3,0,White,7,5,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Kent,47.4126411,52.5873589,Lean Republican
327,10001,DE,1,Delaware,1999,2020,10001,0,2-year,3,Female,No,Moderate,Only now and then,0,1,1,Rep,Republican,Republican,Not very strong Republican,2,0,Two or more races,0,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Kent,47.4126411,52.5873589,Lean Republican
328,10001,DE,1,Delaware,1962,2018,10001,1,No HS,1,Female,No,Liberal,Most of the time,6,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,1,1,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Kent,47.4126411,52.5873589,Lean Republican
329,10003,DE,1,Delaware,1992,2020,10003,0,High school graduate,1,Female,No,Conservative,Don't know,0,1,1,Rep,Republican,Republican,Strong Republican,NA,0,Black,4,3,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
330,10003,DE,1,Delaware,1990,2020,10003,1,Some college,2,Female,No,Liberal,Don't know,0,0,0,Dem,Democrat,Democrat,Strong Democrat,NA,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I don't think it matters,0,0,1,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,I don't think it matters,0,0,1,1,0,0,0,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
331,10003,DE,1,Delaware,1997,2018,10003,1,No HS,1,Female,No,Not sure,Most of the time,2,0,0,Dem,Democrat,Democrat,Not very strong Democrat,4,0,Hispanic,2,2,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
332,10003,DE,1,Delaware,1987,2020,10003,1,Post-grad,5,Female,No,Moderate,Most of the time,4,0,0,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,3,3,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
333,10003,DE,1,Delaware,1974,2020,10003,1,4-year,4,Female,No,Moderate,Most of the time,0,1,1,Dem,Democrat,Democrat,Not very strong Democrat,4,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
334,10003,DE,1,Delaware,2001,2020,10003,0,Some college,2,Male,No,Conservative,Some of the time,0,1,0,Rep,Republican,Republican,Strong Republican,3,0,White,5,3,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
335,10003,DE,1,Delaware,1995,2020,10003,1,High school graduate,1,Female,No,Liberal,Some of the time,3,1,0,Dem,Democrat,Democrat,Strong Democrat,3,0,White,1,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,New Castle,65.57574343,34.42425657,Solid Democrat
336,10005,DE,1,Delaware,1951,2020,10005,0,High school graduate,1,Female,No,Conservative,Some of the time,0,1,1,Rep,Republican,Republican,Strong Republican,3,0,White,2,1,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Sussex,38.5829475,61.4170525,Lean Republican
338,10005,DE,1,Delaware,1957,2020,10005,0,High school graduate,1,Female,No,Conservative,Most of the time,2,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,2,2,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,1,NA,1,NA,NA,NA,NA,0,NA,NA,58.8,39.8,Delaware,DE,Sussex,38.5829475,61.4170525,Lean Republican
340,11001,DC,1,District of Columbia,1959,2018,11001,1,2-year,3,Female,No,Liberal,Some of the time,NA,1,1,Dem,Democrat,Democrat,Not very strong Democrat,3,0,Black,NA,1,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I don't think it matters,0,0,1,1,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,District of Columbia,DC,District of Columbia,95.69518834,4.304811658,Solid Democrat
341,11001,DC,1,District of Columbia,1976,2018,11001,1,Some college,2,Female,No,Very conservative,Most of the time,NA,0,0,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,NA,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,District of Columbia,DC,District of Columbia,95.69518834,4.304811658,Solid Democrat
342,11001,DC,1,District of Columbia,1993,2018,11001,1,4-year,4,Male,No,Liberal,Most of the time,NA,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Asian,NA,3,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,District of Columbia,DC,District of Columbia,95.69518834,4.304811658,Solid Democrat
343,11001,DC,1,District of Columbia,1964,2018,11001,1,High school graduate,1,Female,No,Moderate,Most of the time,NA,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,Black,NA,3,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,District of Columbia,DC,District of Columbia,95.69518834,4.304811658,Solid Democrat
345,12005,FL,2,Florida,1959,2018,12005,1,2-year,3,Male,No,Liberal,Most of the time,5,1,1,Dem,Democrat,Democrat,Strong Democrat,4,0,White,2,2,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,32,67,Florida,FL,Bay,25.95159005,74.04840995,Solid Republican
346,12005,FL,2,Florida,1935,2018,12005,0,Post-grad,5,Male,No,Conservative,Most of the time,7,1,1,Rep,Republican,Republican,Not very strong Republican,4,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,32,67,Florida,FL,Bay,25.95159005,74.04840995,Solid Republican
347,12009,FL,8,Florida,1936,2018,12009,0,Post-grad,5,Male,No,Conservative,Most of the time,7,0,0,NA,Republican,Other,Lean Republican,4,0,Black,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,40.6,58.3,Florida,FL,Brevard,39.69097295,60.30902705,Lean Republican
348,12009,FL,8,Florida,1988,2018,12009,0,4-year,4,Female,No,Liberal,Some of the time,6,0,0,NA,Democrat,Not sure,Lean Democrat,3,0,Mixed,1,1,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,40.6,58.3,Florida,FL,Brevard,39.69097295,60.30902705,Lean Republican
349,12011,FL,20,Florida,1984,2018,12011,1,High school graduate,1,Female,No,Liberal,Don't know,6,1,1,Dem,Democrat,Democrat,Not very strong Democrat,NA,0,Hispanic,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I'm not sure,0,1,0,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,77.3,22.1,Florida,FL,Broward,67.95280687,32.04719313,Solid Democrat
351,12011,FL,20,Florida,1966,2018,12011,1,High school graduate,1,Female,No,Moderate,Most of the time,0,0,0,Dem,Democrat,Democrat,Strong Democrat,4,0,Hispanic,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,0,NA,1,0,0,NA,NA,NA,1,NA,NA,77.3,22.1,Florida,FL,Broward,67.95280687,32.04719313,Solid Democrat
352,12011,FL,22,Florida,1959,2020,12011,0,2-year,3,Male,No,Moderate,Some of the time,0,0,0,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,I'm not sure,0,1,0,1,0,0,0,0,NA,1,0,0,NA,NA,NA,1,NA,NA,57.2,42.3,Florida,FL,Broward,67.95280687,32.04719313,Solid Democrat
