congressmember,chamber,state2,cdid116,politicalparty,biden2020,trump2020,clinton2016,trump2016
"Randy K. Weber, Sr.",rep,TX,14,Republican,39.6,59,38.4,58.2
Vicente Gonzalez,rep,TX,15,Democrat,50.4,48.5,56.7,40
Veronica Escobar,rep,TX,16,Democrat,66.4,32,67.9,27.2
Pete Sessions,rep,TX,17,Republican,43.6,54.6,38.8,56.3
Sheila Jackson Lee,rep,TX,18,Democrat,75.7,23,76.5,20
Jodey C. Arrington,rep,TX,19,Republican,26.3,72.2,23.5,72.5
Joaquin Castro,rep,TX,20,Democrat,63.7,34.7,61,34.3
Chip Roy,rep,TX,21,Republican,47.9,50.6,42.5,52.5
Troy E. Nehls,rep,TX,22,Republican,48.9,49.8,44.2,52.1
Tony Gonzales,rep,TX,23,Republican,48.5,50.3,49.8,46.4
Beth Van Duyne,rep,TX,24,Republican,51.9,46.5,44.5,50.7
Roger Williams,rep,TX,25,Republican,44.4,54,40.2,55.1
Michael C. Burgess,rep,TX,26,Republican,42.1,56.3,34.4,60.9
Michael Cloud,rep,TX,27,Republican,37.5,61.2,36.5,60.1
Henry Cuellar,rep,TX,28,Democrat,51.6,47.2,58.3,38.5
Sylvia R. Garcia,rep,TX,29,Democrat,65.9,32.9,71.1,25.4
Eddie Bernice Johnson,rep,TX,30,Democrat,79.8,18.9,79.1,18.3
John R. Carter,rep,TX,31,Republican,47.6,50.4,40.8,53.5
Colin Z. Allred,rep,TX,32,Democrat,54.4,44,48.5,46.6
Marc A. Veasey,rep,TX,33,Democrat,73,25.6,72.9,23.7
Filemon Vela,rep,TX,34,Democrat,51.5,47.5,59.2,37.7
Lloyd Doggett,rep,TX,35,Democrat,67.7,30.5,64.1,30.5
Brian Babin,rep,TX,36,Republican,26.9,71.9,25.2,72
Blake D. Moore,rep,UT,1,Republican,31.6,64.2,22.4,49.7
Chris Stewart,rep,UT,2,Republican,40.2,56.1,32,46
John R. Curtis,rep,UT,3,Republican,35.2,60.3,23.3,47.2
Burgess Owens,rep,UT,4,Republican,43.3,52.4,32.4,39.1
Robert J. Wittman,rep,VA,1,Republican,47,51.4,41.2,53.6
Elaine G. Luria,rep,VA,2,Democrat,51.4,46.7,45.4,48.8
"Robert C. ""Bobby"" Scott",rep,VA,3,Democrat,67.2,31.2,63.6,31.9
A. Donald McEachin,rep,VA,4,Democrat,61.8,36.8,58.7,37.1
Bob Good,rep,VA,5,Republican,45.1,53.6,42.3,53.4
Ben Cline,rep,VA,6,Republican,38.6,59.8,34.9,59.7
Abigail Davis Spanberger,rep,VA,7,Democrat,49.8,48.7,44,50.5
"Donald S. Beyer, Jr.",rep,VA,8,Democrat,77.6,21.1,73.5,20.9
H. Morgan Griffith,rep,VA,9,Republican,28.4,70.4,27.3,68.8
Jennifer Wexton,rep,VA,10,Democrat,58.9,39.6,52.2,42.2
Gerald E. Connolly,rep,VA,11,Democrat,70.3,28.3,66.9,27.5
Peter Welch,rep,VT,1,Democrat,66.4,30.8,56.7,30.3
Suzan K. DelBene,rep,WA,1,Democrat,59.1,38.2,54.1,37.8
Rick Larsen,rep,WA,2,Democrat,62.1,35.1,56.9,34.8
Jaime Herrera Beutler,rep,WA,3,Republican,46.9,50.6,42.5,49.9
Dan Newhouse,rep,WA,4,Republican,39.6,57.8,35.1,57.9
Cathy McMorris Rodgers,rep,WA,5,Republican,44,53,39.1,52.2
Derek Kilmer,rep,WA,6,Democrat,57.4,39.6,51.8,39.5
Pramila Jayapal,rep,WA,7,Democrat,85.7,12.3,82.1,12.2
Kim Schrier,rep,WA,8,Democrat,52,45.5,47.7,44.7
Adam Smith,rep,WA,9,Democrat,73.3,24.6,70.5,23.3
Marilyn Strickland,rep,WA,10,Democrat,56.2,40.7,51.3,39.9
Bryan Steil,rep,WI,1,Republican,44.7,53.9,42.3,52.6
Mark Pocan,rep,WI,2,Democrat,69.4,29.2,65.8,29
Ron Kind,rep,WI,3,Democrat,46.8,51.5,44.8,49.3
Gwen Moore,rep,WI,4,Democrat,76.2,22.6,74,21.8
Scott Fitzgerald,rep,WI,5,Republican,41.7,56.8,37.3,57.4
Glenn Grothman,rep,WI,6,Republican,41.6,56.8,38.8,55.7
Thomas P. Tiffany,rep,WI,7,Republican,39.3,59.2,37.3,57.7
Mike Gallagher,rep,WI,8,Republican,41.3,57.2,38.6,56.2
David B. McKinley,rep,WV,1,Republican,30.3,68,26.4,68
Alexander Mooney,rep,WV,2,Republican,32.8,65.4,29.4,65.8
Carol D. Miller,rep,WV,3,Republican,25.5,73.1,23.3,72.5
Liz Cheney,rep,WY,1,Republican,26.7,70.4,22.5,70.1
